date,train_id,inducted,actual_failure_occurred,branding_sla_met,energy_consumed_kwh,passenger_complaints,on_time_percentage,total_km_covered,maintenance_cost_inr
2025-03-25,T006,True,False,True,171,0,96.13,246,211
2025-03-25,T007,False,True,True,53,0,98.65,0,7973
2025-03-25,T008,True,False,True,177,1,96.56,384,653
2025-03-25,T009,False,True,True,86,2,96.48,0,7913
2025-03-25,T010,True,False,True,162,1,99.5,314,1507
2025-03-25,T011,True,False,False,175,0,98.2,211,1812
2025-03-25,T012,True,False,True,154,0,97.75,400,743
2025-03-25,T013,True,False,True,154,1,98.16,370,640
2025-03-25,T014,True,False,True,157,0,97.6,287,1434
2025-03-25,T015,True,False,True,180,0,96.88,251,164
2025-03-25,T016,True,False,True,192,1,95.43,296,1182
2025-03-25,T017,True,False,True,151,1,97.72,304,1157
2025-03-25,T018,True,False,True,199,3,97.3,263,1624
2025-03-25,T019,True,False,True,165,0,96.15,200,886
2025-03-25,T020,True,False,True,189,3,97.99,383,526
2025-03-25,T021,True,False,True,171,1,96.37,362,1988
2025-03-25,T022,True,True,False,196,3,99.38,269,7396
2025-03-25,T023,True,False,True,163,0,97.36,218,338
2025-03-25,T024,False,False,True,67,0,95.68,0,1694
2025-03-25,T025,True,False,True,167,1,98.24,398,1017
2025-03-26,T001,True,False,True,179,1,99.61,390,853
2025-03-26,T002,False,True,True,95,0,96.92,0,3770
2025-03-26,T003,True,False,True,193,0,98.81,278,778
2025-03-26,T004,False,False,True,60,0,96.38,0,1989
2025-03-26,T005,False,False,True,69,2,99.14,0,332
2025-03-26,T006,True,False,True,170,1,98.63,279,236
2025-03-26,T007,False,False,True,56,0,98.2,0,296
2025-03-26,T008,True,False,True,172,2,96.09,255,525
2025-03-26,T009,True,False,True,158,1,98.2,334,595
2025-03-26,T010,False,False,True,71,1,95.93,0,1092
2025-03-26,T011,True,False,True,174,1,95.18,286,1915
2025-03-26,T012,True,False,True,194,1,96.02,215,317
2025-03-26,T013,False,False,True,83,0,97.56,0,376
2025-03-26,T014,False,False,True,83,0,99.52,0,546
2025-03-26,T015,True,False,True,192,0,99.42,362,209
2025-03-26,T016,False,False,True,83,0,95.27,0,28
2025-03-26,T017,True,False,True,171,0,97.23,249,705
2025-03-26,T018,False,False,False,85,0,95.25,0,344
2025-03-26,T019,True,False,True,145,0,95.73,352,165
2025-03-26,T020,True,False,True,141,0,95.94,313,1098
2025-03-26,T021,False,False,True,92,0,96.62,0,648
2025-03-26,T022,True,False,True,153,0,96.59,383,679
2025-03-26,T023,True,False,True,150,1,98.73,250,1589
2025-03-26,T024,True,False,True,148,1,97.84,317,346
2025-03-26,T025,True,False,True,194,1,95.99,349,1122
2025-03-27,T001,True,False,True,195,0,98.01,385,1817
2025-03-27,T002,False,False,True,94,0,95.88,0,1187
2025-03-27,T003,True,False,True,190,0,97.65,381,1867
2025-03-27,T004,True,False,True,173,0,97.47,296,847
2025-03-27,T005,True,False,True,159,0,98.72,235,1955
2025-03-27,T006,True,False,True,184,0,96.8,230,419
2025-03-27,T007,True,False,False,173,0,95.13,225,1241
2025-03-27,T008,True,False,True,168,0,96.89,294,1332
2025-03-27,T009,True,False,True,169,0,98.68,200,1463
2025-03-27,T010,True,False,True,187,1,99.2,309,614
2025-03-27,T011,True,False,True,187,1,95.85,209,1460
2025-03-27,T012,True,False,True,166,2,97.23,243,1048
2025-03-27,T013,True,False,True,163,0,98.68,271,993
2025-03-27,T014,True,False,True,154,2,98.7,366,5
2025-03-27,T015,True,False,True,176,0,95.44,326,1235
2025-03-27,T016,False,False,True,51,0,98.65,0,1264
2025-03-27,T017,False,False,True,88,0,95.58,0,1228
2025-03-27,T018,True,False,True,194,0,99.52,333,7
2025-03-27,T019,True,False,True,166,2,99.59,388,1648
2025-03-27,T020,True,True,True,197,0,99.39,330,3113
2025-03-27,T021,True,False,True,143,0,95.6,245,1141
2025-03-27,T022,False,False,True,64,0,96.07,0,1669
2025-03-27,T023,True,False,False,161,1,99.01,228,900
2025-03-27,T024,True,False,True,169,1,99.73,208,456
2025-03-27,T025,False,False,False,81,1,99.31,0,581
2025-03-28,T001,True,False,True,186,0,95.0,270,747
2025-03-28,T002,False,False,True,92,0,99.02,0,1424
2025-03-28,T003,True,False,True,152,0,96.57,243,1066
2025-03-28,T004,False,False,True,89,3,96.17,0,874
2025-03-28,T005,False,False,True,90,0,98.93,0,1258
2025-03-28,T006,False,True,True,55,0,96.11,0,2961
2025-03-28,T007,True,True,True,151,3,95.18,376,7578
2025-03-28,T008,True,False,True,148,1,99.15,312,646
2025-03-28,T009,True,False,True,175,0,96.62,367,849
2025-03-28,T010,True,False,False,145,0,96.84,361,191
2025-03-28,T011,False,False,True,87,0,97.42,0,855
2025-03-28,T012,False,False,True,84,1,95.43,0,1222
2025-03-28,T013,False,False,True,97,1,96.71,0,695
2025-03-28,T014,True,False,True,167,0,95.33,246,1658
2025-03-28,T015,True,False,True,151,2,99.4,227,1836
2025-03-28,T016,True,False,True,187,0,97.27,222,586
2025-03-28,T017,True,False,True,181,2,96.64,281,125
2025-03-28,T018,True,False,True,170,0,95.75,286,87
2025-03-28,T019,False,False,True,86,0,97.43,0,15
2025-03-28,T020,True,False,True,189,0,95.0,323,676
2025-03-28,T021,True,False,True,151,0,98.49,361,519
2025-03-28,T022,True,False,True,197,0,97.87,384,220
2025-03-28,T023,True,False,False,191,0,98.2,391,1585
2025-03-28,T024,True,False,False,182,0,95.55,270,195
2025-03-28,T025,False,False,True,58,0,99.01,0,900
2025-03-29,T001,False,False,True,64,0,96.48,0,588
2025-03-29,T002,False,False,True,65,0,97.44,0,1025
2025-03-29,T003,True,False,True,151,2,98.0,350,408
2025-03-29,T004,True,False,True,180,0,99.12,217,1451
2025-03-29,T005,True,False,False,200,2,98.68,321,1681
2025-03-29,T006,True,False,True,172,1,95.44,206,454
2025-03-29,T007,False,True,True,96,0,97.86,0,7659
2025-03-29,T008,False,False,True,56,1,95.9,0,364
2025-03-29,T009,True,False,True,192,0,96.53,234,40
2025-03-29,T010,False,False,True,50,1,97.13,0,1781
2025-03-29,T011,True,False,True,164,0,96.94,221,691
2025-03-29,T012,True,False,True,142,0,97.46,346,826
2025-03-29,T013,True,True,False,186,1,95.13,227,6978
2025-03-29,T014,True,False,False,146,0,97.23,276,558
2025-03-29,T015,True,False,True,142,0,97.43,382,827
2025-03-29,T016,False,False,False,80,0,98.58,0,1822
2025-03-29,T017,True,False,True,167,0,95.8,383,66
2025-03-29,T018,False,False,True,84,0,99.39,0,530
2025-03-29,T019,True,False,True,176,0,95.05,287,1879
2025-03-29,T020,True,False,True,140,0,99.35,337,852
2025-03-29,T021,False,False,True,56,0,99.64,0,687
2025-03-29,T022,True,False,False,149,0,98.46,380,621
2025-03-29,T023,True,False,True,184,0,96.76,367,502
2025-03-29,T024,False,False,True,93,1,97.79,0,37
2025-03-29,T025,False,False,True,58,0,96.65,0,966
2025-03-30,T001,True,False,True,187,0,96.93,394,228
2025-03-30,T002,True,False,False,157,0,97.69,254,1607
2025-03-30,T003,True,False,True,173,0,97.49,256,61
2025-03-30,T004,False,False,True,73,0,97.77,0,1091
2025-03-30,T005,False,False,True,60,1,98.21,0,5
2025-03-30,T006,False,False,True,70,0,97.27,0,1359
2025-03-30,T007,True,False,True,154,0,97.42,266,281
2025-03-30,T008,True,False,True,176,0,97.67,332,955
2025-03-30,T009,False,False,False,80,0,96.37,0,224
2025-03-30,T010,False,False,True,75,1,97.36,0,1275
2025-03-30,T011,True,False,True,146,0,95.56,249,187
2025-03-30,T012,False,False,True,76,0,95.23,0,1578
2025-03-30,T013,False,False,True,50,0,98.93,0,707
2025-03-30,T014,True,False,True,160,0,95.18,230,1021
2025-03-30,T015,True,True,True,173,0,96.18,360,5455
2025-03-30,T016,True,True,True,158,0,97.73,305,7371
2025-03-30,T017,True,False,True,147,0,99.57,334,1004
2025-03-30,T018,True,False,True,160,0,99.21,237,496
2025-03-30,T019,True,False,True,194,3,99.14,383,1447
2025-03-30,T020,False,False,True,64,0,98.07,0,1994
2025-03-30,T021,True,False,True,193,0,97.45,276,670
2025-03-30,T022,True,False,True,159,0,96.16,231,349
2025-03-30,T023,True,False,False,188,2,97.54,331,1609
2025-03-30,T024,True,False,True,181,1,96.87,287,1693
2025-03-30,T025,True,False,False,183,2,97.28,361,1335
2025-03-31,T001,True,False,True,159,0,98.55,259,1544
2025-03-31,T002,True,False,True,183,2,95.69,210,1204
2025-03-31,T003,False,False,True,76,1,97.37,0,103
2025-03-31,T004,False,False,True,85,0,95.84,0,1747
2025-03-31,T005,True,False,True,154,0,99.63,305,975
2025-03-31,T006,False,False,True,80,2,99.23,0,841
2025-03-31,T007,True,False,True,148,0,98.08,346,1336
2025-03-31,T008,True,False,True,167,0,98.84,202,1019
2025-03-31,T009,True,False,True,200,0,95.83,348,1593
2025-03-31,T010,True,False,True,176,0,99.04,243,1367
2025-03-31,T011,False,False,True,58,0,97.57,0,899
2025-03-31,T012,True,False,True,154,0,97.94,387,1392
2025-03-31,T013,False,False,True,91,1,97.06,0,1520
2025-03-31,T014,True,False,True,146,0,99.04,285,1738
2025-03-31,T015,True,False,True,177,1,99.73,258,1882
2025-03-31,T016,True,False,True,197,0,97.27,380,1613
2025-03-31,T017,True,True,True,193,0,96.55,332,3040
2025-03-31,T018,True,False,True,168,0,98.8,330,444
2025-03-31,T019,False,False,False,84,0,95.59,0,1414
2025-03-31,T020,True,False,True,161,0,96.6,381,1882
2025-03-31,T021,False,False,True,89,0,97.55,0,96
2025-03-31,T022,False,True,True,75,0,96.02,0,4230
2025-03-31,T023,False,False,True,75,0,95.82,0,1786
2025-03-31,T024,False,False,True,92,1,98.57,0,1331
2025-03-31,T025,True,False,True,187,2,99.54,368,1900
2025-04-01,T001,True,False,True,156,0,98.57,312,1976
2025-04-01,T002,False,False,True,73,1,95.74,0,1329
2025-04-01,T003,True,False,True,192,0,97.26,225,1621
2025-04-01,T004,True,False,True,199,0,95.27,283,752
2025-04-01,T005,False,False,True,73,0,98.56,0,1571
2025-04-01,T006,False,False,False,90,1,96.79,0,888
2025-04-01,T007,True,False,False,142,3,99.38,235,1932
2025-04-01,T008,True,False,True,189,1,96.0,254,1770
2025-04-01,T009,False,False,True,54,0,95.8,0,1588
2025-04-01,T010,True,False,True,177,0,98.52,218,746
2025-04-01,T011,True,False,True,150,0,99.44,273,282
2025-04-01,T012,True,False,True,181,0,97.44,318,1362
2025-04-01,T013,False,False,True,76,0,97.39,0,242
2025-04-01,T014,True,False,True,184,0,96.73,351,1838
2025-04-01,T015,False,False,False,83,0,96.13,0,239
2025-04-01,T016,False,False,True,88,0,96.46,0,1012
2025-04-01,T017,True,False,False,162,0,97.43,251,1662
2025-04-01,T018,False,False,True,91,0,95.68,0,351
2025-04-01,T019,True,False,False,144,0,98.17,225,158
2025-04-01,T020,False,False,True,83,1,95.63,0,17
2025-04-01,T021,True,False,True,172,0,98.28,205,1365
2025-04-01,T022,False,True,True,66,0,97.14,0,6136
2025-04-01,T023,True,False,True,193,0,95.48,227,292
2025-04-01,T024,False,False,True,66,0,97.62,0,494
2025-04-01,T025,True,False,True,175,0,96.27,264,1122
2025-04-02,T001,True,False,True,170,0,95.86,242,38
2025-04-02,T002,True,True,True,187,0,98.68,320,2621
2025-04-02,T003,True,False,True,180,0,98.08,390,1372
2025-04-02,T004,False,False,True,61,0,99.25,0,1201
2025-04-02,T005,True,False,False,198,0,97.42,374,489
2025-04-02,T006,True,False,True,147,0,95.33,356,1639
2025-04-02,T007,False,False,True,57,0,98.05,0,1139
2025-04-02,T008,True,False,True,144,0,95.32,320,474
2025-04-02,T009,True,False,True,177,0,97.79,238,1824
2025-04-02,T010,True,False,False,186,2,95.54,376,1858
2025-04-02,T011,True,False,True,164,1,96.51,313,613
2025-04-02,T012,False,True,True,100,1,98.52,0,7275
2025-04-02,T013,True,False,True,142,0,95.33,363,1627
2025-04-02,T014,True,False,True,200,1,98.89,400,1973
2025-04-02,T015,True,False,True,151,3,99.14,230,179
2025-04-02,T016,True,False,True,196,1,95.82,211,1131
2025-04-02,T017,True,False,True,173,2,95.98,261,788
2025-04-02,T018,False,False,True,81,0,95.26,0,171
2025-04-02,T019,False,False,True,57,0,98.22,0,1297
2025-04-02,T020,False,False,True,71,0,99.04,0,1417
2025-04-02,T021,True,False,True,160,0,96.42,219,1047
2025-04-02,T022,True,False,True,146,0,96.68,342,1504
2025-04-02,T023,False,False,True,74,3,99.15,0,1728
2025-04-02,T024,False,False,True,68,0,97.16,0,212
2025-04-02,T025,True,False,True,187,1,95.19,332,665
2025-04-03,T001,True,False,True,158,0,95.05,231,622
2025-04-03,T002,True,False,True,188,2,99.37,362,103
2025-04-03,T003,True,True,False,181,0,98.3,268,7754
2025-04-03,T004,True,False,True,197,0,99.71,391,1676
2025-04-03,T005,True,False,True,163,0,97.09,344,1894
2025-04-03,T006,True,False,True,164,0,96.43,212,1572
2025-04-03,T007,False,False,True,57,2,96.4,0,1908
2025-04-03,T008,True,False,True,198,0,96.13,239,1179
2025-04-03,T009,False,False,True,93,0,96.45,0,469
2025-04-03,T010,True,False,True,186,0,99.12,305,703
2025-04-03,T011,True,False,True,153,0,96.17,357,963
2025-04-03,T012,True,False,True,182,0,97.46,270,878
2025-04-03,T013,True,False,False,194,2,95.85,248,905
2025-04-03,T014,False,False,True,80,1,98.6,0,488
2025-04-03,T015,True,False,True,199,0,99.56,370,1026
2025-04-03,T016,True,False,True,177,1,99.02,252,686
2025-04-03,T017,True,False,False,173,0,98.86,313,950
2025-04-03,T018,True,False,True,155,1,99.2,264,41
2025-04-03,T019,True,False,True,167,0,95.42,226,595
2025-04-03,T020,False,False,True,62,1,98.34,0,1724
2025-04-03,T021,False,False,True,55,1,99.62,0,1092
2025-04-03,T022,False,True,True,53,0,97.0,0,2168
2025-04-03,T023,True,False,True,184,0,96.95,398,495
2025-04-03,T024,False,False,True,74,0,99.48,0,1765
2025-04-03,T025,True,False,True,173,1,99.4,300,1441
2025-04-04,T001,False,False,False,50,0,98.01,0,1128
2025-04-04,T002,False,False,True,76,0,99.11,0,23
2025-04-04,T003,True,False,True,182,0,98.75,332,718
2025-04-04,T004,True,False,True,167,1,97.8,293,1140
2025-04-04,T005,False,False,True,90,0,98.58,0,515
2025-04-04,T006,True,False,False,196,0,98.76,387,1028
2025-04-04,T007,True,False,True,143,0,95.84,278,1895
2025-04-04,T008,True,True,True,182,0,98.02,240,6584
2025-04-04,T009,True,False,True,152,0,95.28,296,1134
2025-04-04,T010,False,False,True,89,0,96.37,0,654
2025-04-04,T011,True,False,False,144,0,96.94,331,1765
2025-04-04,T012,False,False,True,98,0,96.3,0,620
2025-04-04,T013,False,True,True,70,1,97.7,0,2000
2025-04-04,T014,False,False,True,82,0,96.06,0,513
2025-04-04,T015,True,False,True,155,0,97.02,378,1139
2025-04-04,T016,True,False,True,145,0,95.75,287,427
2025-04-04,T017,True,False,True,156,0,97.02,299,965
2025-04-04,T018,True,False,True,156,0,98.51,218,1235
2025-04-04,T019,True,False,True,146,0,99.38,306,1621
2025-04-04,T020,False,False,True,73,0,97.43,0,779
2025-04-04,T021,True,False,True,187,1,98.29,289,58
2025-04-04,T022,True,False,True,174,0,98.57,371,23
2025-04-04,T023,True,False,True,168,0,95.61,259,811
2025-04-04,T024,True,False,False,193,1,99.03,252,1992
2025-04-04,T025,True,False,True,160,1,97.22,301,1187
2025-04-05,T001,True,True,True,143,0,95.82,270,2440
2025-04-05,T002,False,False,True,51,0,96.12,0,1980
2025-04-05,T003,True,False,True,171,2,96.15,329,1696
2025-04-05,T004,False,False,True,75,0,95.97,0,714
2025-04-05,T005,True,False,True,163,0,95.87,262,1497
2025-04-05,T006,True,False,True,195,0,99.61,310,1661
2025-04-05,T007,True,False,True,162,0,95.72,306,301
2025-04-05,T008,True,False,True,172,0,99.56,295,292
2025-04-05,T009,True,False,True,199,0,95.46,273,513
2025-04-05,T010,True,False,True,181,0,98.05,278,1199
2025-04-05,T011,True,False,True,150,0,97.85,323,1791
2025-04-05,T012,True,False,True,171,0,97.6,248,1149
2025-04-05,T013,False,False,True,72,0,99.64,0,295
2025-04-05,T014,False,False,True,86,0,96.1,0,1107
2025-04-05,T015,True,True,True,144,0,95.17,215,4281
2025-04-05,T016,True,False,True,160,0,98.36,278,1371
2025-04-05,T017,True,True,True,193,0,97.8,353,5932
2025-04-05,T018,False,False,True,75,1,98.2,0,564
2025-04-05,T019,True,False,True,188,0,98.99,248,383
2025-04-05,T020,True,False,True,189,0,95.95,251,1530
2025-04-05,T021,True,False,True,189,0,98.82,326,1307
2025-04-05,T022,True,False,True,143,0,98.63,398,756
2025-04-05,T023,True,False,True,149,0,99.27,218,820
2025-04-05,T024,True,False,True,167,0,98.45,213,1538
2025-04-05,T025,True,False,True,150,0,95.71,318,54
2025-04-06,T001,True,False,True,153,0,96.68,313,968
2025-04-06,T002,True,False,False,160,0,95.79,206,216
2025-04-06,T003,False,False,False,99,0,98.16,0,1904
2025-04-06,T004,True,True,True,167,0,98.54,319,5616
2025-04-06,T005,True,False,True,190,0,96.06,348,1759
2025-04-06,T006,True,True,True,171,0,95.01,373,7251
2025-04-06,T007,False,False,True,80,0,98.83,0,19
2025-04-06,T008,False,False,True,58,1,95.01,0,1113
2025-04-06,T009,True,True,True,192,0,97.92,245,7014
2025-04-06,T010,True,False,True,165,0,99.12,215,1977
2025-04-06,T011,False,False,True,80,1,98.99,0,1061
2025-04-06,T012,True,False,True,200,0,96.86,329,606
2025-04-06,T013,True,False,False,157,0,96.2,265,1504
2025-04-06,T014,False,False,False,75,2,98.1,0,932
2025-04-06,T015,True,False,True,176,0,97.63,220,1549
2025-04-06,T016,False,False,True,84,0,99.0,0,1178
2025-04-06,T017,True,False,True,181,0,95.17,217,1905
2025-04-06,T018,True,False,True,188,0,95.96,223,622
2025-04-06,T019,False,False,True,68,0,95.4,0,1306
2025-04-06,T020,False,False,True,69,1,99.66,0,388
2025-04-06,T021,False,False,True,87,0,99.16,0,1630
2025-04-06,T022,True,False,True,192,2,95.37,332,917
2025-04-06,T023,True,True,True,178,0,99.54,388,2360
2025-04-06,T024,True,False,True,182,0,95.31,270,1097
2025-04-06,T025,True,False,True,181,1,99.2,253,1805
2025-04-07,T001,True,False,True,172,0,96.94,386,935
2025-04-07,T002,False,False,False,63,0,95.61,0,397
2025-04-07,T003,True,False,True,187,0,95.52,305,1566
2025-04-07,T004,False,True,True,60,0,98.1,0,2810
2025-04-07,T005,True,False,False,195,1,96.5,384,117
2025-04-07,T006,True,False,True,192,0,97.24,255,93
2025-04-07,T007,True,False,True,149,1,96.77,351,1292
2025-04-07,T008,True,False,True,172,0,99.15,267,1270
2025-04-07,T009,False,False,True,81,0,96.25,0,302
2025-04-07,T010,False,False,False,90,0,95.73,0,1839
2025-04-07,T011,False,True,True,52,1,96.61,0,1441
2025-04-07,T012,True,False,True,185,0,95.71,315,1603
2025-04-07,T013,True,False,True,174,1,98.32,358,1979
2025-04-07,T014,False,False,True,64,1,98.66,0,1390
2025-04-07,T015,False,False,True,70,0,98.06,0,73
2025-04-07,T016,True,False,True,146,0,97.34,325,610
2025-04-07,T017,True,False,True,189,2,95.17,267,52
2025-04-07,T018,False,False,False,95,1,96.9,0,455
2025-04-07,T019,True,False,True,190,0,95.37,204,690
2025-04-07,T020,True,False,False,141,0,97.48,328,1418
2025-04-07,T021,True,False,True,149,0,98.83,303,1313
2025-04-07,T022,True,False,True,159,1,96.92,279,1029
2025-04-07,T023,True,False,True,148,0,97.08,269,1474
2025-04-07,T024,False,False,True,88,0,95.31,0,3
2025-04-07,T025,False,False,False,97,1,97.53,0,1922
2025-04-08,T001,False,True,True,93,1,97.38,0,4373
2025-04-08,T002,False,False,True,59,0,98.47,0,1888
2025-04-08,T003,False,True,True,72,1,95.74,0,4051
2025-04-08,T004,True,False,False,170,0,96.7,392,948
2025-04-08,T005,True,False,True,154,0,96.64,342,1243
2025-04-08,T006,False,False,False,97,0,98.1,0,642
2025-04-08,T007,False,False,True,98,0,98.55,0,1151
2025-04-08,T008,True,False,True,182,0,95.66,384,132
2025-04-08,T009,False,False,True,79,1,99.71,0,426
2025-04-08,T010,True,False,True,179,0,95.2,353,1976
