date,total_services,on_time_services,delayed_services,punctuality_percentage,avg_delay_minutes,passenger_complaints,revenue_per_service,energy_consumption_kwh,maintenance_alerts,safety_incidents,customer_satisfaction,cost_per_km
2025-08-16,181,173,8,95.58,1.0566088999789636,4,2110,3069,1,0,4.458644119540471,12.872291384222244
2025-08-17,189,188,1,99.47,3.1851306234541075,0,1946,3259,0,1,4.222174222889265,16.788042214793478
2025-08-18,220,217,3,98.64,1.5032093969601878,4,1999,3108,2,0,4.37823854602318,16.92560863528218
2025-08-19,208,203,5,97.6,1.1728904618441374,5,2013,2918,1,0,4.636327849717529,17.906928758746904
2025-08-20,197,197,0,100.0,0.7960913264485546,3,1921,3247,1,1,4.377192084835451,16.040559972459008
2025-08-21,194,186,8,95.88,3.1193163304289477,4,2008,3276,0,1,4.500523839837773,14.511185301202781
2025-08-22,220,215,5,97.73,0.7642283947749124,2,2010,3012,3,1,4.438758463425068,15.181700112461703
2025-08-23,214,207,7,96.73,2.0040802104017015,0,1901,2930,2,1,4.665026395961367,16.050009865415795
2025-08-24,182,178,4,97.8,1.0581093004175703,3,2064,3257,0,0,4.6400106345342005,14.522989127611838
2025-08-25,202,199,3,98.51,2.182037650025614,2,2182,3291,1,0,4.442463826510094,15.672472919814025
2025-08-26,201,193,8,96.02,2.611055923224993,3,2057,3023,1,1,4.348002616991394,15.970201842048326
2025-08-27,191,188,3,98.43,2.1624595192625775,2,2061,3170,3,0,4.409205959959169,17.206441985765466
2025-08-28,204,203,1,99.51,1.1358483395147974,3,1821,2996,3,1,4.6620227473959055,13.987477910759718
2025-08-29,194,186,8,95.88,1.1776635975296659,1,1904,3155,1,0,4.385088153440761,14.856459073523949
2025-08-30,182,182,0,100.0,0.9773731514157463,1,1802,2910,1,1,4.397058698255722,15.490763446455654
2025-08-31,213,205,8,96.24,0.6000337439871105,5,1964,2820,2,1,4.752991499328248,16.072799510651105
2025-09-01,212,204,8,96.23,2.5371766718375244,2,2124,2959,1,0,4.2347228926814156,17.351188566072004
2025-09-02,191,191,0,100.0,2.6307138194599147,4,2131,2924,3,0,4.304025162449851,13.087052394994746
2025-09-03,180,179,1,99.44,2.787269842514093,0,1920,2993,0,0,4.734142872210545,18.121312133711324
2025-09-04,216,210,6,97.22,1.4764238905020504,0,1828,2961,2,0,4.378862826655959,14.876600882783269
2025-09-05,198,193,5,97.47,2.4247109656746826,2,1851,2946,1,1,4.42778223359316,16.63319615846798
2025-09-06,190,188,2,98.95,1.3439498059762647,4,2142,2971,0,0,4.551026187287417,16.26057870177716
2025-09-07,182,178,4,97.8,0.9580238064450767,3,1854,2970,1,1,4.499609290388646,16.177081670670702
2025-09-08,199,191,8,95.98,2.129003137636016,4,1978,3256,0,0,4.476564180902828,16.30264484280321
2025-09-09,189,185,4,97.88,2.133080883726074,0,2118,3327,3,1,4.487246500256469,15.491303973985042
2025-09-10,206,198,8,96.12,1.2326176095104842,2,1972,2820,0,1,4.28169752911707,17.554489108113707
